"Bulgaria","Total renewable water resources (10^9 m3/year)",1962,21.3,"I",,1967,21.3,"I",,1972,21.3,"I",,1977,21.3,"I",,1982,21.3,"I",,1987,21.3,"I",,1992,21.3,"I",,1997,21.3,"I",,2002,21.3,"I",,2007,21.3,"I",,2012,21.3,"I",,2017,21.3,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Burkina Faso","Total renewable water resources (10^9 m3/year)",1962,13.5,"I",,1967,13.5,"I",,1972,13.5,"I",,1977,13.5,"I",,1982,13.5,"I",,1987,13.5,"I",,1992,13.5,"I",,1997,13.5,"I",,2002,13.5,"I",,2007,13.5,"I",,2012,13.5,"I",,2017,13.5,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Burundi","Total renewable water resources (10^9 m3/year)",1962,12.54,"I",,1967,12.54,"I",,1972,12.54,"I",,1977,12.54,"I",,1982,12.54,"I",,1987,12.54,"I",,1992,12.54,"I",,1997,12.54,"I",,2002,12.54,"I",,2007,12.54,"I",,2012,12.54,"I",,2017,12.54,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Cabo Verde","Total renewable water resources (10^9 m3/year)",1962,0.3,"",,1967,0.3,"",,1972,0.3,"",,1977,0.3,"",,1982,0.3,"",,1987,0.3,"",,1992,0.3,"",,1997,0.3,"",,2002,0.3,"",,2007,0.3,"",,2012,0.3,"",,2017,0.3,"",

