"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Bhutan","Total renewable surface water (10^9 m3/yr)",1962,95.0,"E",,1967,95.0,"E",,1972,95.0,"E",,1977,95.0,"E",,1982,95.0,"E",,1987,95.0,"E",,1992,95.0,"E",,1997,81.0,"E",,2002,81.0,"E",,2007,78.0,"E",,2012,78.0,"E",,2017,78.0,"E",,,,"",
"Bhutan","Total renewable groundwater (10^9 m3/yr)",1962,9.5,"E",,1967,9.5,"E",,1972,9.5,"E",,1977,9.5,"E",,1982,9.5,"E",,1987,9.5,"E",,1992,9.5,"E",,1997,8.1,"E",,2002,8.1,"E",,2007,8.1,"E",,2012,8.1,"E",,2017,8.1,"E",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Bolivia (Plurinational State of)","Total renewable surface water (10^9 m3/yr)",1962,547.9,"E",,1967,547.9,"E",,1972,547.9,"E",,1977,547.9,"E",,1982,547.9,"E",,1987,547.9,"E",,1992,547.9,"E",,1997,547.9,"E",,2002,547.9,"E",,2007,547.9,"E",,2012,547.9,"E",,2017,547.9,"E",,,,"",
"Bolivia (Plurinational State of)","Total renewable groundwater (10^9 m3/yr)",1962,130.0,"E",,1967,130.0,"E",,1972,130.0,"E",,1977,130.0,"E",,1982,130.0,"E",,1987,130.0,"E",,1992,130.0,"E",,1997,130.0,"E",,2002,130.0,"E",,2007,130.0,"E",,2012,130.0,"E",,2017,130.0,"E",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Bosnia and Herzegovina","Total renewable surface water (10^9 m3/yr)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,36.34,"E",,1997,36.34,"E",,2002,36.34,"E",,2007,36.34,"E",,2012,36.34,"E",,2017,36.34,"E",,,,"",
"Bosnia and Herzegovina","Total renewable groundwater (10^9 m3/yr)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,11.57,"E",,1997,11.57,"E",,2002,11.57,"E",,2007,11.57,"E",,2012,11.57,"E",,2017,11.57,"E",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Botswana","Total renewable surface water (10^9 m3/yr)",1962,10.64,"E",,1967,10.64,"E",,1972,10.64,"E",,1977,10.64,"E",,1982,10.64,"E",,1987,10.64,"E",,1992,10.64,"E",,1997,10.64,"E",,2002,10.64,"E",,2007,10.64,"E",,2012,10.64,"E",,2017,10.64,"E",,,,"",
"Botswana","Total renewable groundwater (10^9 m3/yr)",1962,1.7,"E",,1967,1.7,"E",,1972,1.7,"E",,1977,1.7,"E",,1982,1.7,"E",,1987,1.7,"E",,1992,1.7,"E",,1997,1.7,"E",,2002,1.7,"E",,2007,1.7,"E",,2012,1.7,"E",,2017,1.7,"E",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Brazil","Total renewable surface water (10^9 m3/yr)",1962,8647.0,"E",,1967,8647.0,"E",,1972,8647.0,"E",,1977,8647.0,"E",,1982,8647.0,"E",,1987,8647.0,"E",,1992,8647.0,"E",,1997,8647.0,"E",,2002,8647.0,"E",,2007,8647.0,"E",,2012,8647.0,"E",,2017,8647.0,"E",,,,"",
"Brazil","Total renewable groundwater (10^9 m3/yr)",1962,645.6,"E",,1967,645.6,"E",,1972,645.6,"E",,1977,645.6,"E",,1982,645.6,"E",,1987,645.6,"E",,1992,645.6,"E",,1997,645.6,"E",,2002,645.6,"E",,2007,645.6,"E",,2012,645.6,"E",,2017,645.6,"E",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Brunei Darussalam","Total renewable surface water (10^9 m3/yr)",1962,8.5,"E",,1967,8.5,"E",,1972,8.5,"E",,1977,8.5,"E",,1982,8.5,"E",,1987,8.5,"E",,1992,8.5,"E",,1997,8.5,"E",,2002,8.5,"E",,2007,8.5,"E",,2012,8.5,"E",,2017,8.5,"E",,,,"",
"Brunei Darussalam","Total renewable groundwater (10^9 m3/yr)",1962,0.1,"E",,1967,0.1,"E",,1972,0.1,"E",,1977,0.1,"E",,1982,0.1,"E",,1987,0.1,"E",,1992,0.1,"E",,1997,0.1,"E",,2002,0.1,"E",,2007,0.1,"E",,2012,0.1,"E",,2017,0.1,"E",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Bulgaria","Total renewable surface water (10^9 m3/yr)",1962,20.4,"E",,1967,20.4,"E",,1972,20.4,"E",,1977,20.4,"E",,1982,20.4,"E",,1987,20.4,"E",,1992,20.4,"E",,1997,20.4,"E",,2002,20.4,"E",,2007,20.4,"E",,2012,20.4,"E",,2017,20.4,"E",,,,"",
